date,token_flows,buys,sells,buy_bnb,sell_bnb
2026-01-26,14,9,5,3.8,1.2765195570293653
2026-01-27,46,20,26,7.1,7.662485597428719
2026-01-28,76,29,47,11.8,10.003661118728067
2026-01-29,124,42,82,13.600000000000001,14.141831337409961
2026-01-30,106,37,69,13.100000000000001,13.73428370494323
2026-01-31,41,22,19,10.0,6.411798521921791
2026-02-02,3,2,1,0.4,0.23979127055492197
2026-02-03,35,14,21,5.499999999999999,4.4460938752114
2026-02-04,28,12,16,3.9999999999999996,3.7891151693428187
2026-02-05,26,11,15,2.6999999999999997,4.79944862790104
2026-02-06,73,29,44,8.51,7.6784781356471985
2026-02-07,10,3,7,0.8999999999999999,1.8165815075686658
2026-02-08,3,2,1,0.8,0.2791242392892347
2026-02-09,91,36,55,13.500000000000004,13.159389019063704
2026-02-10,98,43,55,20.6,13.256663953482871
2026-02-11,176,57,119,25.666999999999998,25.800348474930043
2026-02-12,59,28,31,9.880000000000003,8.902132917494013
2026-02-13,58,35,23,9.00112,7.1679353626917255
2026-02-14,62,19,43,7.7,9.669596619014152
2026-02-15,43,16,27,6.699999999999999,5.928666392626137
2026-02-17,11,4,7,1.35,1.5182359230521705
2026-02-18,73,24,49,9.6,11.253657589301923
2026-02-22,61,23,38,9.3,12.738146372666172
2026-02-23,66,25,41,10.0,8.925381219300267
2026-02-24,6,3,3,1.5,1.1826238984029034
2026-02-25,7,4,3,1.4,1.2285674939261426
2026-02-26,109,37,72,13.100000000000003,14.809175847157118
2026-02-27,86,35,51,12.900000000000002,12.145341751018995
2026-02-28,207,73,134,32.64999999999999,43.52615834079806
2026-03-01,118,47,71,16.110000000000003,16.897742909963046
2026-03-02,98,36,62,12.226687894000001,14.522865253098425
2026-03-03,87,33,54,12.0,14.331995294471279
2026-03-04,68,28,40,9.516666666,11.026125379497785
2026-03-05,92,42,50,18.000000000000004,14.997827333571397
2026-03-06,41,11,30,3.499999999999999,5.604302501898098
2026-03-07,47,25,22,7.699999999999999,7.037197635159351
2026-03-08,120,48,72,15.505,17.607697159546383
2026-03-09,158,54,104,15.408000000000003,21.397021594745713
2026-03-10,216,94,122,31.122,34.412109295278704
2026-03-11,215,100,115,27.134999999999998,32.355114833595074
2026-03-12,207,119,88,27.46,26.490793018495527
2026-03-13,146,89,57,18.608999999999998,17.71248508515937
2026-03-14,187,91,96,25.906,29.283568842089018
2026-03-15,207,93,114,25.726999999999997,30.87919030795457
2026-03-16,170,87,83,28.024999999999995,27.901182434610774
