review_id,total_radar_score,action,token_label,token_address,leader_or_copycat,leader_score,fdv_bucket,source_type,narrative_tag,time_edge_missing,next_human_check
REV-0001,86,人工确认,CZ 🔶 BNB,0x6114ea6cc28ae5cd5e4a404e562ce4747de94444,leader_candidate,70,0-50k,company/project/person,binance+founder_person,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0002,86,人工确认,CS,0xca7ab98f4c43e5e92a8d2b8ef9b35c76a52a4444,leader_candidate,70,0-50k,company/project/person,binance+founder_person,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0003,86,人工确认,Dinance,0x42a3404651eb9ce4fce649d4999329481eea4444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0008,86,人工确认,BNB,0x9f391279cc2ab9e22768599fc7d0252644804444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0011,86,人工确认,TUWB,0x27b8d57c9e412757af6d7efabcbb637224f14444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0012,86,人工确认,大象,0x2824b90ccfbcae7e10e6e0d9aa69e8c226814444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0014,86,人工确认,导师CZ,0xcbf231e7ba9ebd6b6ec6253fcbc2091fcf7b4444,leader_candidate,70,0-50k,company/project/person,binance+founder_person,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0015,86,人工确认,BNB,0x491479c940b62171d46da6c74d93a6c245564444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0016,86,人工确认,AI何一,0x9d48014610228d0d0c9e6f83bf9b641711854444,leader_candidate,70,0-50k,company/project/category/person,binance+ai_agent+founder_person,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
REV-0018,86,人工确认,Meme candidates,0x7e4c5e2f76f74e95ff20959ee71433c3e6ec4444,leader_candidate,70,0-50k,company/project,binance,source/deploy/pool/amplifier/breakout,补 Binance/CZ/BNB Chain 官方原帖与 Four.meme 开池时间
