research_priority,token,token_label,name,first_buy_time_utc,first_buy_bucket,first_buy_fdv_usd,first_buy_approx_liquidity_usd_after,buy_bnb,sell_bnb,realized_pnl_bnb,realized_roi,holding_window,first_exit_window,minutes_to_first_sell,minutes_to_last_trade,narrative_tag,source_type_guess,source_status,earliest_source_url,earliest_source_name,earliest_source_time_utc,buy_vs_source_window,leader_or_copycat,source_confidence,source_note
120,0x6114ea6cc28ae5cd5e4a404e562ce4747de94444,CZ 🔶 BNB,CZ 🔶 BNB,2026-04-03 07:11:14,0-50k,10034.309258881038,5476.627364900844,0.6,6.63046963428237,6.030390632162371,10.050651053603952,3d-7d,0-5m,2.7333333333333334,6877.316666666667,binance+founder_person,company/project/person,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0xca7ab98f4c43e5e92a8d2b8ef9b35c76a52a4444,CS,CZ vs Star,2026-04-08 06:31:53,0-50k,11253.525238737391,6077.862313042541,1.2000000000000002,4.534822698130835,3.334194938530835,2.7784957821090286,1d-3d,0-5m,0.8,2112.2,binance+founder_person,company/project/person,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x42a3404651eb9ce4fce649d4999329481eea4444,Dinance,Dick Binance,2026-05-07 08:02:44,0-50k,6231.586188349671,2549.777099500667,0.4,3.5176341409629073,3.1172294546429073,7.793073636607268,5-30m,0-5m,0.16666666666666666,14.05,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x0e21e9555d415a551fb12aecb356160221294444,FFAI,FFAI,2026-03-22 06:14:58,0-50k,4685.282566531686,1491.2091188118811,0.77,2.9742862224819375,2.2040145846019374,2.8623566033791397,6h-24h,0-5m,0.11666666666666667,1253.3666666666666,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x900ae9e048d9b0bdab2d4cf947c7c246a0824444,流金谷恩仇录,央视AI武侠短剧,2026-03-18 00:50:44,0-50k,4978.209379924395,1398.279668537681,1.143,3.2453419048042713,2.1018210587242714,1.8388635684376824,1h-6h,0-5m,0.35,268.5833333333333,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x97dda9801d38b1399200448b70442a4459a94444,传统金融,Binance Trade Stock,2026-06-01 03:27:15,0-50k,0.0,0.0,0.8,2.5375045452004596,1.7372475248804595,2.1715594061005743,5-30m,5-30m,9.466666666666667,28.533333333333335,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0xd730680f1dac564d4b289eb0dbbef7b23fda4444,比比拉布,抖音新晋爆火热梗,2026-02-05 04:33:43,0-50k,9447.527717527124,4896.338783313921,1.0,2.73516284785825,1.7348545450582502,1.7348545450582502,7d+,1h-6h,131.1,127040.13333333333,chinese_social_meme,meme/community,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x9f391279cc2ab9e22768599fc7d0252644804444,BNB,BNB changed my life,2026-03-31 09:44:36,0-50k,19072.295933229616,10479.671010406684,0.99,2.572491173983333,1.582203924583333,1.598185782407407,1h-6h,0-5m,0.08333333333333333,234.55,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x2b057db87cac1e419f30358b0097d1280ba84444,CZ,CZ,2026-02-11 06:57:25,0-50k,6974.031622426982,3115.874769509418,1.0,2.4866152490261952,1.4861102527861951,1.4861102527861951,6h-24h,5-30m,7.833333333333333,1421.4333333333334,binance+founder_person,company/project/person,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x0566969ff0a59472a6693c758cf01cb98c684444,AI gent,AI gent,2026-03-03 17:09:16,0-50k,22900.758339194286,11782.91122733039,0.3,1.726366499532528,1.420405170892528,4.734683902975093,1d-3d,0-5m,1.05,3615.8,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x27b8d57c9e412757af6d7efabcbb637224f14444,TUWB,Team Up With Binance,2026-05-06 07:02:22,0-50k,4927.473344507723,1618.7935168316833,1.17,2.435452701101126,1.2622526845011264,1.078848448291561,1h-6h,0-5m,0.11666666666666667,60.03333333333333,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x2824b90ccfbcae7e10e6e0d9aa69e8c226814444,大象,币安是大象,2026-03-09 02:08:58,0-50k,7225.837198874539,3273.9690904530967,1.2000000000000002,2.4462731273818124,1.2457350526618125,1.0381125438848433,7d+,0-5m,1.3333333333333333,70670.95,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x444428e122c0fd4f7e642cf91d73dff53622366c,月之暗面,Moonshot AI,2026-04-27 03:13:36,0-50k,13132.254858868731,3267.4301761799247,0.62,1.8453483367929628,1.2251348605129628,1.9760239685692949,30m-1h,0-5m,3.55,39.333333333333336,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0xcbf231e7ba9ebd6b6ec6253fcbc2091fcf7b4444,导师CZ,导师CZ,2026-03-14 02:23:31,0-50k,12343.439412527798,6912.677098564765,1.17,2.398311183251865,1.219404449171865,1.042226024933218,5-30m,0-5m,0.18333333333333332,29.933333333333334,binance+founder_person,company/project/person,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x491479c940b62171d46da6c74d93a6c245564444,BNB,Build and Build,2026-05-03 13:37:26,0-50k,4565.458004096577,1420.8599643564355,1.17,2.387927116181451,1.2147218258214512,1.0382237827533771,0-5m,0-5m,0.23333333333333334,2.05,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x9d48014610228d0d0c9e6f83bf9b641711854444,AI何一,AI何一,2026-04-01 07:08:43,0-50k,12908.395568502732,7380.517028505168,0.99,2.163283957596543,1.1731294332365427,1.1849792254914573,0-5m,0-5m,0.05,3.7333333333333334,binance+ai_agent+founder_person,company/project/category/person,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0xc31e3e49d47ee3ad35993c8f887d0942aa7d4444,BAI,BAI,2026-03-11 10:00:17,0-50k,8264.26553785144,4179.271739306931,0.6,1.6959649947498006,1.0900837032298007,1.816806172049668,0-5m,0-5m,0.06666666666666667,1.15,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x7e4c5e2f76f74e95ff20959ee71433c3e6ec4444,Meme candidates,币安招聘MEME职位,2026-03-30 10:33:45,0-50k,9000.002429092498,4660.946859953356,0.4,1.4516894766537152,1.0514699398937153,2.628674849734288,1h-6h,0-5m,0.75,152.95,binance,company/project,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
120,0x478aebe7758c29e29ca71147a57e1063fc764444,神仝,人民网AI起名,2026-05-03 02:59:44,0-50k,11995.800920868818,6497.648247075362,0.4,1.449584773069711,1.0495097767897108,2.623774441974277,7d+,3d-7d,4566.133333333333,10259.633333333333,ai_agent,category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
105,0x44449ba264dffdcf903128c6800d9e4d3998adaf,安小将,安小将,2026-04-15 09:14:08,0-50k,18736.35348370053,8289.094792304155,6.49,21.59659038699013,15.101998870350126,2.3269643868027927,7d+,0-5m,0.9,10371.25,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0x7528f0abcb9e4fd65859c92255aa889d02094444,冲鸭,冲鸭,2026-05-01 09:58:44,0-50k,14231.372921048636,7962.043596983962,0.77,6.910061428660707,6.136026256580706,7.968865268286631,3d-7d,0-5m,0.1,8884.75,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0x13762a21d45d102078269b0b0ac9a954104e4444,马维斯,马维斯Marvis,2026-05-17 05:15:55,0-50k,5753.594039039469,2101.437564618927,0.4,5.188299990528072,4.782587136726304,11.95646784181576,3d-7d,3d-7d,5297.65,7869.883333333333,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0x5177b93950833dd74569091fad3bfb3a1ab04444,牛回！,牛回！,2026-05-11 07:28:47,0-50k,10443.92374455802,5731.969173556571,1.17,5.564502186956407,4.3910923394364065,3.753070375586673,1h-6h,0-5m,0.3333333333333333,217.45,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0x66f10363aa46e27215b7669898efc67a462f4444,BAP,Binance Ai Pro,2026-03-23 08:41:40,0-50k,4860.441689887555,1596.772005940594,13.05,16.044325094147105,2.9937084573471062,0.2294029469231499,1d-3d,0-5m,0.55,1656.05,binance+ai_agent,company/project/category,待追踪,,,,待补证据,待判断,low,基于 token 名称/描述的初步分类，需用原始链接复核
105,0xa5cad5e0352cc658d730356b684f519d635e4444,chovy,wo chovy,2026-05-04 01:54:40,0-50k,12026.124824757642,6742.976219269451,0.77,3.756249563818896,2.985927756818896,3.877828255608956,1d-3d,1h-6h,265.9,3205.766666666667,unknown,unknown,待追踪,,,,待补证据,待判断,low,需要用 token 名称、部署时间、早期传播账号继续检索
105,0x9eae0c56c5eb40d5b47c6c197573bc39adad4444,QClaw,腾讯开发的QClaw,2026-03-08 14:26:30,0-50k,5927.105494313326,2525.1701752152344,0.801,3.5430640382610425,2.7304376373410424,3.4087860640961827,1d-3d,0-5m,0.13333333333333333,3650.733333333333,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0xec77f3bfe27f9ccac5a1ae502846b684ff4f4444,ONOP,One NationOne People,2026-04-07 08:07:50,0-50k,5264.749052171774,2040.8106475247523,0.77,3.4172435456815937,2.6436240883615936,3.4332780368332383,6h-24h,0-5m,0.18333333333333332,1158.3333333333333,unknown,unknown,待追踪,,,,待补证据,待判断,low,需要用 token 名称、部署时间、早期传播账号继续检索
105,0x49769e06a8fdc9df45de40927bb89fae6ccd4444,马上有钱,马上有钱,2026-02-11 06:46:07,0-50k,4931.508754440532,1507.8200206192164,1.4,4.014102755583628,2.613722531743628,1.866944665531163,6h-24h,5-30m,8.116666666666667,1432.65,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
105,0x6ce931ccb9484c00e7cbc7df0cce7c3d103b4444,幣安人生,幸運、韌性與保護用戶的回憶錄,2026-04-03 03:49:41,0-50k,20940.58973687211,11208.537102661332,0.99,3.4876580227403715,2.497502238860372,2.5227295342023957,1h-6h,0-5m,0.23333333333333334,60.9,unmapped_chinese_meme,meme/community,待追踪,,,,待补证据,待判断,low,需要追踪中文社媒、群聊、Four.meme 创建描述
