token,symbol_or_addr,name,first_buy_time_utc,first_buy_bnb,first_buy_usd,first_buy_fdv_usd,first_buy_pool_bnb_after,first_buy_approx_liquidity_usd_after,first_buy_trade_volume_usd,first_buy_bucket,buy_count,sell_count,buy_bnb,sell_bnb,fee_bnb,realized_pnl_bnb,realized_pnl_usd_at_trade_prices,realized_roi,token_in_amount,token_out_amount,net_token_amount,open_position_flag,last_trade_time_utc
0x0030e89ccc1557caac009fcb9e0a7bfd5fc04444,泡妞宝殿,首个由Hermes 创建的币安相关APP,2026-05-15 07:08:55,0.4,268.836,8370.396142157013,3.023750534376402,4064.4649932980724,268.836,0-50k,1,1,0.4,0.43046040098982186,6.34992e-05,0.030396901789821833,20.429453723921387,0.07599225447455459,32117476.33376909,32117476.33376909,0.0,False,2026-05-15 07:10:20
0x0036a7854c6842d6c6dcccb484dcc35eadb54444,TWAK,TrustWalletAgentKit,2026-03-26 14:17:37,0.4,251.37199999999999,8763.032859495903,3.546229188625467,4457.113618015805,251.37199999999999,0-50k,3,5,1.47,1.073109926363833,0.0002049762,-0.3970950498361669,-245.40949470170833,-0.27013268696337883,36419810.51814428,36419810.51814428,0.0,False,2026-03-27 04:03:34
0x007a0b1c8bb823ce742fcc31591baaacb2504444,Boned,John Boned,2026-03-02 08:33:10,0.3,191.33999999999997,4244.952777387457,0.5562143409502193,709.5070133160997,191.33999999999997,0-50k,1,1,0.3,0.2694524235915055,0.0029297895999999997,-0.03347736600849448,-21.351864040217784,-0.11159122002831492,45074706.37111765,45074706.37111765,0.0,False,2026-03-02 08:34:08
0x007be65c48bc24b8fdb85fddfc65e3884bba4444,肉包,网友手搓肉包AI模型吊打豆包,2026-01-28 04:29:30,0.3,270.49199999999996,16263.96727533905,4.8028414076797565,8660.867853640751,270.49199999999996,0-50k,1,5,0.3,0.6637113964613327,0.0001462734,0.3635651230613327,327.80485755702006,1.2118837435377758,16631366.469246728,16631366.469246726,1.862645149230957e-09,False,2026-01-28 05:39:25
0x008df3b921dea7d03e54c379d736a91d9a6d4444,无名之辈,你我都是无名之辈,2026-03-13 09:43:46,0.77,505.0122,6111.435231823848,1.998289730397267,2621.1966051567033,505.0122,0-50k,1,1,0.77,0.747209760074589,0.008691467999999999,-0.03148170792541107,-20.647592959960104,-0.040885334968066324,82633977.26450063,82633977.26450063,0.0,False,2026-03-13 09:44:28
0x00974bff6ad5dde28336e2ecc61b374ce3354444,FkToly,FuckToly,2026-01-29 12:03:31,0.3,260.178,27409.380645585603,8.30439912176074,14404.146364676439,260.178,0-50k,2,2,0.6,0.3081013226257579,0.00012212928000000003,-0.29202080665424207,-240.6134638508293,-0.4867013444237368,25452545.735510074,25452545.735510074,0.0,False,2026-01-31 07:06:21
0x0098fad4ec17c0aa278a12336424fc29a4844444,币安盛夏,大V CZ批奏折预期,2026-04-15 02:42:33,0.77,479.49440000000004,9668.434129798532,4.257686859438211,5302.693522218726,479.49440000000004,0-50k,1,1,0.77,0.46871539186616357,0.00291899332,-0.30420360145383646,-189.43366669733305,-0.3950696122777097,49593801.18463832,49593801.18463832,0.0,False,2026-04-15 02:43:08
0x00993318db0529174d92b0af4a4c24afe8ef4444,Memehouse,The Meme House,2026-03-15 12:06:06,0.4,269.62800000000004,18602.46180776156,,,269.62800000000004,0-50k,1,1,0.4,0.4077124286453911,7.08444e-05,0.007641584245391068,5.150962692290765,0.019103960613477668,14494210.647297358,14494210.647297358,0.0,False,2026-03-15 12:06:55
0x00a76e85544b34cb3b38ea1be2055d0214cb4444,Richard Teng,Richard Teng,2026-04-13 14:13:40,0.4,245.93200000000002,6221.112455851799,2.137195014942593,2628.023222074309,245.93200000000002,0-50k,2,2,0.8,0.658904395043774,0.00012029232,-0.14121589727622608,-86.82377012234204,-0.1765198715952826,83887133.964172,83887133.964172,0.0,False,2026-04-13 14:54:43
0x00ae8d10a44b8fd65247250823b4fd0c30dd4444,梦想,梦想还是要有的，万一哪天实现了呢,2026-05-07 09:11:27,0.4,254.836,5429.814818474142,,,254.836,0-50k,1,1,0.4,0.22385160311906144,4.0721760000000004e-05,-0.17618911864093859,-106.26307817748305,-0.44047279660234645,46932723.954592004,46932723.954592004,0.0,False,2026-05-10 05:58:37
0x00b1b7723e93b47ebe64ee6452dbbbadaa2f4444,btc 刀客,最强文科生,2026-03-25 03:30:46,0.4,258.956,7417.565481405682,2.6566391107539356,3439.7631878219804,258.956,0-50k,1,1,0.4,0.3908447587358395,6.00324e-05,-0.009215273664160507,-5.965876017440885,-0.02303818416040127,34911184.89606188,34911184.89606188,0.0,False,2026-03-25 03:35:00
0x00b61873dc2bab46d5ff2169bf70e30d6da64444,AIVILIZATION,10 万个agent从零创造文明,2026-03-10 07:35:07,0.4,256.84000000000003,8087.992624578308,3.074800084634964,3948.658268688221,256.84000000000003,0-50k,1,3,0.4,0.5485525442054089,0.0001119204,0.14844062380540887,95.31372454545301,0.37110155951352214,31755716.396117654,31755716.396117654,0.0,False,2026-03-10 07:36:09
0x00e2557deb46dc0ed02b9d8a4b788b44bba04444,勇敢,有梦想就去追，因为勇敢我的人生更精彩,2026-03-29 13:44:22,0.77,466.3505,4855.20068269946,1.4354455445544554,1738.7551881188117,466.3505,0-50k,1,3,0.77,1.0046399808190571,0.0001119204,0.23452806041905713,142.04191979280196,0.3045818966481261,96051745.4328401,96051745.43284011,-1.4901161193847656e-08,False,2026-03-29 13:45:11
0x00f1b1a679d4b0e2b1252b6058e5595103164444,凳子,抖音爆火纯meme,2026-05-21 09:41:22,0.77,506.3058,5479.701026244237,1.5765346534653466,2073.269192079208,506.3058,0-50k,1,1,0.77,0.7484767182649809,0.0030607314,-0.02458401313501916,-16.164971996800517,-0.031927289785739166,92396610.24846454,92396610.24846454,0.0,False,2026-05-21 09:41:26
0x00ff346c6c01472004ac327128c431837a2d4444,调查兵团,抖音爆火热梗,2026-05-16 12:38:31,0.4,262.464,10709.418149170322,4.324969053003465,5675.743387637507,262.464,0-50k,2,1,0.5,0.3560318956752725,0.022451755679999998,-0.1664198600047275,-114.00092123762022,-0.332839720009455,32955300.614465628,32955300.614465628,0.0,False,2026-05-29 14:50:50
0x0156bec33d30dc42860a702586ee5e244d9f4444,我的猪盾,我的猪盾,2026-03-20 06:48:34,0.3,192.555,16441.272694485393,4421.510430350278,5675892.939440652,192.555,0-50k,1,1,0.3,0.07990552810734637,0.00010996056,-0.22020443245265364,-140.89584293477225,-0.7340147748421788,11711684.586594403,11711684.586594403,0.0,False,2026-03-25 01:18:45
0x016f655736f109b5ae51e7d689bc888688ac4444,傻瓜币,傻瓜币,2026-03-07 07:14:05,0.3,186.087,4054.52693340561,0.497155066228104,616.7606320612613,186.087,0-50k,1,1,0.3,0.29686257849388453,0.0058045169600000005,-0.008941938466115457,-5.546595011146761,-0.029806461553718192,45896106.514131784,45896106.514131784,0.0,False,2026-03-07 07:14:15
0x0189608b2c82f609b1f5d36d83847ed0ee224444,AI 失业潮,AI 失业潮,2026-02-27 04:21:02,0.3,184.21499999999997,4717.1744037992685,1.0447090503543879,1283.0071847402237,184.21499999999997,0-50k,1,1,0.3,0.22831053110281402,6.029075999999999e-05,-0.07174975965718597,-43.384512779612734,-0.23916586552395325,39051979.89958374,39051979.89958374,0.0,False,2026-02-28 01:48:48
